Ad group	Keyword	Currency	Avg. Monthly Searches (exact match only)	Competition	Suggested bid	Impr. share	Organic impr. share	Organic avg. position	In account?	In plan?	Extracted From
Seed Keywords	credito	EUR	10K – 100K	0.94	3.44				N	N	
Keyword Ideas	prestamos personales	EUR	10K – 100K	0.99	3.75				N	N	
Keyword Ideas	prestamos	EUR	10K – 100K	0.93	3.34				N	N	
Keyword Ideas	prestamos rapidos	EUR	10K – 100K	0.99	3.57				N	N	
Keyword Ideas	prestamos online	EUR	10K – 100K	0.99	3.79				N	N	
Keyword Ideas	credito rapido	EUR	10K – 100K	0.98	3.85				N	N	
Keyword Ideas	creditos online	EUR	10K – 100K	0.98	3.68				N	N	
Keyword Ideas	prestamos de dinero	EUR	1K – 10K	0.95	2.55				N	N	
Keyword Ideas	creditos rapidos	EUR	10K – 100K	0.99	3.81				N	N	
Keyword Ideas	creditos personales	EUR	1K – 10K	0.99	3.25				N	N	
Keyword Ideas	prestamos inmediatos	EUR	1K – 10K	0.99	2.65				N	N	
Keyword Ideas	prestamo personal	EUR	1K – 10K	1.00	3.55				N	N	
Keyword Ideas	minicreditos	EUR	10K – 100K	0.98	2.58				N	N	
Keyword Ideas	credito de consumo	EUR	10 – 100	0.88	2.39				N	N	
Keyword Ideas	creditos hipotecarios	EUR	100 – 1K	0.95	2.34				N	N	
Keyword Ideas	prestamos personales online	EUR	1K – 10K	0.99	2.81				N	N	
Keyword Ideas	prestamos personales rapidos	EUR	1K – 10K	0.97	2.23				N	N	
Keyword Ideas	credito personal	EUR	1K – 10K	0.99	2.78				N	N	
Keyword Ideas	prestamos urgentes	EUR	1K – 10K	0.98	2.23				N	N	
Keyword Ideas	prestamos bancarios	EUR	100 – 1K	0.93	2.09				N	N	
Keyword Ideas	prestamos hipotecarios	EUR	1K – 10K	0.98	2.36				N	N	
Keyword Ideas	credito facil	EUR	100 – 1K	0.91	3.26				N	N	
Keyword Ideas	credito rapido online	EUR	1K – 10K	0.93	3.11				N	N	
Keyword Ideas	prestamo rapido	EUR	1K – 10K	0.99	3.13				N	N	
Keyword Ideas	prestamos en linea	EUR	100 – 1K	0.97	1.93				N	N	
Keyword Ideas	prestamos por internet	EUR	100 – 1K	0.82	2.31				N	N	
Keyword Ideas	creditos rapidos online	EUR	1K – 10K	0.97	3.49				N	N	
Keyword Ideas	prestamos rapidos online	EUR	1K – 10K	0.97	3.05				N	N	
Keyword Ideas	minicreditos online	EUR	1K – 10K	0.97	2.83				N	N	
Keyword Ideas	prestamos al instante	EUR	1K – 10K	0.94	2.53				N	N	
Keyword Ideas	calcular prestamo	EUR	1K – 10K	0.51	0.89				N	N	
Keyword Ideas	prestamos en efectivo	EUR	100 – 1K	0.99	1.47				N	N	
Keyword Ideas	préstamos personales	EUR	1K – 10K	0.99	3.51				N	N	
Keyword Ideas	prestamo online	EUR	1K – 10K	0.99	3.41				N	N	
Keyword Ideas	minicreditos rapidos	EUR	1K – 10K	0.90	2.54				N	N	
Keyword Ideas	créditos rápidos	EUR	1K – 10K	0.94	3.62				N	N	
Keyword Ideas	prestamos online rapidos	EUR	1K – 10K	0.95	2.59				N	N	
Keyword Ideas	préstamos	EUR	1K – 10K	0.93	3.03				N	N	
Keyword Ideas	prestamistas	EUR	1K – 10K	0.73	1.22				N	N	
Keyword Ideas	prestamo coche	EUR	1K – 10K	0.99	2.56				N	N	
Keyword Ideas	prestamos con asnef	EUR	1K – 10K	0.98	1.36				N	N	
Keyword Ideas	credito bancario	EUR	100 – 1K	0.67	2.15				N	N	
Keyword Ideas	solicitud de credito	EUR	10 – 100	0.78	2.06				N	N	
Keyword Ideas	creditos rapidos con asnef	EUR	1K – 10K	0.98	1.91				N	N	
Keyword Ideas	prestamos sin aval	EUR	100 – 1K	0.96	2.48				N	N	
Keyword Ideas	prestamos rapidos con asnef	EUR	1K – 10K	0.95	1.90				N	N	
Keyword Ideas	prestamos sin nomina	EUR	1K – 10K	1.00	2.23				N	N	
Keyword Ideas	microcreditos	EUR	1K – 10K	0.95	3.00				N	N	
Keyword Ideas	el credito	EUR	100 – 1K	0.36	0.30				N	N	
Keyword Ideas	credito on line	EUR	100 – 1K	0.98	4.05				N	N	
Keyword Ideas	linea de credito	EUR	1K – 10K	0.87	2.62				N	N	
Keyword Ideas	creditos con asnef	EUR	1K – 10K	0.98	1.49				N	N	
Keyword Ideas	prestamos online inmediatos	EUR	1K – 10K	0.98	2.33				N	N	
Keyword Ideas	creditos al instante	EUR	1K – 10K	0.97	2.58				N	N	
Keyword Ideas	prestamos de dinero rapido	EUR	100 – 1K	0.78	3.11				N	N	
Keyword Ideas	solicitar credito	EUR	100 – 1K	0.99	3.70				N	N	
Keyword Ideas	credito consumo	EUR	10 – 100	0.93	1.70				N	N	
Keyword Ideas	prestamos rapidos y faciles	EUR	100 – 1K	0.98	2.72				N	N	
Keyword Ideas	prestamos personales en linea	EUR	10 – 100	1.00	1.78				N	N	
Keyword Ideas	prestamos express	EUR	100 – 1K	0.98	1.96				N	N	
Keyword Ideas	creditos urgentes	EUR	1K – 10K	0.98	2.07				N	N	
Keyword Ideas	microcreditos rapidos	EUR	100 – 1K	0.88	2.89				N	N	
Keyword Ideas	prestamo bancario	EUR	100 – 1K	0.71	2.25				N	N	
Keyword Ideas	creditos sin nomina	EUR	1K – 10K	0.96	2.67				N	N	
Keyword Ideas	pedir prestamo	EUR	1K – 10K	0.97	2.78				N	N	
Keyword Ideas	prestamo express	EUR	100 – 1K	1.00	1.86				N	N	
Keyword Ideas	necesito un prestamo	EUR	100 – 1K	0.97	1.92				N	N	
Keyword Ideas	creditos rapidos y faciles	EUR	100 – 1K	0.89	2.81				N	N	
Keyword Ideas	mini prestamos	EUR	1K – 10K	0.97	2.05				N	N	
Keyword Ideas	pedir un prestamo	EUR	100 – 1K	0.99	2.05				N	N	
Keyword Ideas	mini creditos al instante	EUR	1K – 10K	0.91	2.50				N	N	
Keyword Ideas	credito coche	EUR	100 – 1K	0.98	2.47				N	N	
Keyword Ideas	financiar	EUR	1K – 10K	0.56	1.65				N	N	
Keyword Ideas	pedir credito	EUR	100 – 1K	0.99	3.19				N	N	
Keyword Ideas	dinero urgente	EUR	1K – 10K	0.98	1.94				N	N	
Keyword Ideas	prestamos sin intereses	EUR	1K – 10K	0.97	1.89				N	N	
Keyword Ideas	pedir credito rapido	EUR	100 – 1K	1.00	3.58				N	N	
Keyword Ideas	mini prestamos online	EUR	100 – 1K	0.99	2.56				N	N	
Keyword Ideas	solicitud de prestamo	EUR	10 – 100	0.98	2.50				N	N	
Keyword Ideas	prestamo rapido online	EUR	100 – 1K	0.96	3.51				N	N	
Keyword Ideas	prestamistas particulares	EUR	1K – 10K	0.98	1.55				N	N	
Keyword Ideas	calculadora de prestamos personales	EUR	100 – 1K	0.80	0.95				N	N	
Keyword Ideas	solicitar prestamo	EUR	100 – 1K	1.00	2.73				N	N	
Keyword Ideas	credito si	EUR	100 – 1K	0.75	1.25				N	N	
Keyword Ideas	prestamos personales por internet	EUR	10 – 100	0.97	1.68				N	N	
Keyword Ideas	prestamos faciles	EUR	100 – 1K	0.97	2.27				N	N	
Keyword Ideas	micro prestamos online	EUR	100 – 1K	0.97	2.20				N	N	
Keyword Ideas	mejor prestamo personal	EUR	100 – 1K	0.98	2.72				N	N	
Keyword Ideas	credito inmediato	EUR	1K – 10K	0.99	2.33				N	N	
Keyword Ideas	creditos para construccion	EUR	10 – 100	0.95					N	N	
Keyword Ideas	creditos personales rapidos	EUR	100 – 1K	0.99	2.17				N	N	
Keyword Ideas	necesito dinero urgente	EUR	100 – 1K	0.99	1.62				N	N	
Keyword Ideas	prestamos personales inmediatos	EUR	10 – 100	1.00	3.15				N	N	
Keyword Ideas	mini prestamos rapidos	EUR	100 – 1K	0.93	2.37				N	N	
Keyword Ideas	prestamos para negocios	EUR	100 – 1K	0.98	2.73				N	N	
Keyword Ideas	prestamos baratos	EUR	100 – 1K	0.99	2.60				N	N	
Keyword Ideas	prestamos personales sin aval	EUR	100 – 1K	0.98	2.89				N	N	
Keyword Ideas	prestamo urgente	EUR	100 – 1K	0.99	2.21				N	N	
Keyword Ideas	creditos online rapidos	EUR	100 – 1K	0.98	2.93				N	N	
Keyword Ideas	prestamos inmediatos en linea	EUR	10 – 100						N	N	
Keyword Ideas	creditos rapidos por telefono	EUR	100 – 1K	0.94	2.29				N	N	
Keyword Ideas	creditos personales online	EUR	100 – 1K	1.00	2.11				N	N	
Keyword Ideas	pedir prestamo personal	EUR	100 – 1K	1.00	2.92				N	N	
Keyword Ideas	calculadora de prestamos	EUR	1K – 10K	0.43	0.70				N	N	
Keyword Ideas	prestamos personales baratos	EUR	100 – 1K	0.99	2.51				N	N	
Keyword Ideas	comparador prestamos	EUR	100 – 1K	0.94	1.99				N	N	
Keyword Ideas	mini creditos rapidos	EUR	100 – 1K	0.95	2.92				N	N	
Keyword Ideas	prestar dinero	EUR	100 – 1K	0.94	2.44				N	N	
Keyword Ideas	prestamos personales online rapidos	EUR	100 – 1K	0.98	2.27				N	N	
Keyword Ideas	calcular credito	EUR	100 – 1K	0.71	1.71				N	N	
Keyword Ideas	credito rapidos	EUR	100 – 1K	0.98	3.27				N	N	
Keyword Ideas	micro prestamos	EUR	100 – 1K	0.85	2.78				N	N	
Keyword Ideas	interes prestamo personal	EUR	100 – 1K	0.91	2.82				N	N	
Keyword Ideas	prestamos faciles y rapidos	EUR	100 – 1K	0.99	2.57				N	N	
Keyword Ideas	mini prestamos al instante	EUR	100 – 1K	0.91	1.94				N	N	
Keyword Ideas	prestamos particulares	EUR	100 – 1K	0.96	2.05				N	N	
Keyword Ideas	financieras prestamos personales	EUR	100 – 1K	0.99	2.28				N	N	
Keyword Ideas	como conseguir un prestamo	EUR	10 – 100	0.99	1.83				N	N	
Keyword Ideas	solicitar credito rapido	EUR	100 – 1K	0.96	3.12				N	N	
Keyword Ideas	prestamos rapidos por internet	EUR	10 – 100	1.00	2.77				N	N	
Keyword Ideas	solicitar prestamo personal	EUR	100 – 1K	0.95	3.14				N	N	
Keyword Ideas	comparativa prestamos personales	EUR	100 – 1K	1.00	2.84				N	N	
Keyword Ideas	prestamos en efectivo sin aval	EUR	10 – 100	1.00	1.37				N	N	
Keyword Ideas	prestamos de dinero al instante	EUR	10 – 100	1.00	2.14				N	N	
Keyword Ideas	comparador prestamos personales	EUR	100 – 1K	0.96	2.48				N	N	
Keyword Ideas	creditos por internet	EUR	100 – 1K	0.75	2.21				N	N	
Keyword Ideas	pedir un credito	EUR	100 – 1K	0.99	3.18				N	N	
Keyword Ideas	credito pyme	EUR	10 – 100	0.96	2.27				N	N	
Keyword Ideas	prestamos en linea inmediatos	EUR	10 – 100	1.00	2.76				N	N	
Keyword Ideas	como pedir un prestamo	EUR	100 – 1K	0.99	2.32				N	N	
Keyword Ideas	préstamos de dinero	EUR	100 – 1K	0.96	2.64				N	N	
Keyword Ideas	creditos online inmediatos	EUR	100 – 1K	0.91	2.49				N	N	
Keyword Ideas	prestamos personal	EUR	100 – 1K	0.99	4.05				N	N	
Keyword Ideas	prestamos inmediatos online	EUR	100 – 1K	0.96	2.70				N	N	
Keyword Ideas	prestamos ya	EUR	100 – 1K	0.96	1.73				N	N	
Keyword Ideas	prestamos personales con asnef	EUR	1K – 10K	0.92	1.15				N	N	
Keyword Ideas	prestamo online inmediato	EUR	100 – 1K	0.85	2.17				N	N	
Keyword Ideas	creditos para vivienda	EUR	10 – 100	0.86	0.79				N	N	
Keyword Ideas	creditos rapidos sin papeles	EUR	1K – 10K	0.97	2.52				N	N	
Keyword Ideas	prestamos rapido	EUR	100 – 1K	0.99	3.22				N	N	
Keyword Ideas	prestamos por internet rapidos	EUR	10 – 100	1.00	1.39				N	N	
Keyword Ideas	prestamos entre particulares	EUR	1K – 10K	0.69	1.13				N	N	
Keyword Ideas	credito ya	EUR	100 – 1K	0.99	1.74				N	N	
Keyword Ideas	prestamos para vivienda	EUR	10 – 100	0.95	1.16				N	N	
Keyword Ideas	prestamos en linea rapidos	EUR	10 – 100	1.00	2.30				N	N	
Keyword Ideas	creditos para emprendedores	EUR	100 – 1K	0.99	1.91				N	N	
Keyword Ideas	prestamo de dinero urgente	EUR	100 – 1K	0.96	2.23				N	N	
Keyword Ideas	prestamos urgentes en linea	EUR	10 – 100	1.00	1.66				N	N	
Keyword Ideas	prestamos urgentes online	EUR	100 – 1K	0.97	2.08				N	N	
Keyword Ideas	reunificar deudas	EUR	1K – 10K	0.94	1.79				N	N	
Keyword Ideas	prestamos sin papeleos	EUR	100 – 1K	0.98	2.35				N	N	
Keyword Ideas	prestamos rapidos en linea	EUR	10 – 100						N	N	
Keyword Ideas	creditos para pymes	EUR	10 – 100	0.97	2.48				N	N	
Keyword Ideas	calcular prestamo personal	EUR	1K – 10K	0.76	1.22				N	N	
Keyword Ideas	credito financiero	EUR	10 – 100	0.75	2.43				N	N	
Keyword Ideas	solicitar un credito	EUR	10 – 100	0.97	2.38				N	N	
Keyword Ideas	creditos para negocios	EUR	10 – 100	0.96	1.47				N	N	
Keyword Ideas	credito inmobiliario	EUR	10 – 100	0.74	2.26				N	N	
Keyword Ideas	prestamos en linea urgentes	EUR	10 – 100	1.00	2.08				N	N	
Keyword Ideas	creditos al momento	EUR	100 – 1K	0.99	2.44				N	N	
Keyword Ideas	prestamo personal online	EUR	100 – 1K	0.99	2.37				N	N	
Keyword Ideas	simulador credito	EUR	100 – 1K	0.74	0.83				N	N	
Keyword Ideas	credito nomina	EUR	10 – 100	0.97	2.22				N	N	
Keyword Ideas	prestamos al momento	EUR	100 – 1K	0.99	2.12				N	N	
Keyword Ideas	calculadora prestamos personales	EUR	100 – 1K	0.63	0.81				N	N	
Keyword Ideas	préstamo rápido	EUR	100 – 1K	0.98	3.35				N	N	
Keyword Ideas	creditos y prestamos	EUR	100 – 1K	0.69	3.00				N	N	
Keyword Ideas	solicitar prestamo online	EUR	100 – 1K	0.91	2.29				N	N	
Keyword Ideas	prestamos banco	EUR	100 – 1K	0.96	2.34				N	N	
Keyword Ideas	prestamos inmediatos por internet	EUR	100 – 1K	0.98	2.80				N	N	
Keyword Ideas	prestamos en linea al instante	EUR	10 – 100	1.00	1.91				N	N	
Keyword Ideas	credito y	EUR	100 – 1K	0.26	0.98				N	N	
Keyword Ideas	prestamos para jubilados	EUR	10 – 100	0.87	1.36				N	N	
Keyword Ideas	calcular cuota prestamo	EUR	1K – 10K	0.44	0.78				N	N	
Keyword Ideas	microcreditos online	EUR	1K – 10K	0.90	2.32				N	N	
Keyword Ideas	prestamistas privados	EUR	100 – 1K	0.99	1.91				N	N	
Keyword Ideas	minicreditos rapidos online	EUR	100 – 1K	0.96	2.07				N	N	
Keyword Ideas	mini creditos inmediatos	EUR	100 – 1K	0.91	2.02				N	N	
Keyword Ideas	creditos online urgentes	EUR	100 – 1K	0.98	1.94				N	N	
Keyword Ideas	prestamo rapidos	EUR	10 – 100	1.00	3.45				N	N	
Keyword Ideas	creditos baratos	EUR	100 – 1K	1.00	2.41				N	N	
Keyword Ideas	efectivo ya	EUR	10 – 100	1.00	0.88				N	N	
Keyword Ideas	mejores prestamos personales	EUR	1K – 10K	0.99	3.28				N	N	
Keyword Ideas	dinero rapido online	EUR	100 – 1K	0.92	2.30				N	N	
Keyword Ideas	pedir prestamo rapido	EUR	100 – 1K	0.96	3.91				N	N	
Keyword Ideas	solicitar credito online	EUR	100 – 1K	0.99	2.69				N	N	
Keyword Ideas	prestamos personales rapidos por internet	EUR	100 – 1K	0.99	2.21				N	N	
Keyword Ideas	prestamos economicos	EUR	10 – 100	0.99	2.31				N	N	
Keyword Ideas	creditos en efectivo	EUR	10 – 100	1.00	2.10				N	N	
Keyword Ideas	prestamo inmediato	EUR	100 – 1K	1.00	2.66				N	N	
Keyword Ideas	prestamo online rapido	EUR	100 – 1K	0.97	2.72				N	N	
Keyword Ideas	pedir prestamo online	EUR	100 – 1K	0.87	2.98				N	N	
Keyword Ideas	solicitud de prestamo personal	EUR	10 – 100	1.00	3.08				N	N	
Keyword Ideas	creditos sin aval	EUR	100 – 1K	0.93	2.27				N	N	
Keyword Ideas	mini prestamos urgentes	EUR	100 – 1K	0.88	1.63				N	N	
Keyword Ideas	prestamos de consumo	EUR	10 – 100	0.90	1.32				N	N	
Keyword Ideas	necesito un prestamo urgente	EUR	100 – 1K	0.98	1.98				N	N	
Keyword Ideas	prestamos en el acto	EUR	10 – 100	0.96	2.37				N	N	
Keyword Ideas	prestamos en bancos	EUR	10 – 100	0.93	1.85				N	N	
Keyword Ideas	prestamos online urgentes	EUR	100 – 1K	0.60	2.07				N	N	
Keyword Ideas	prestamos con dni	EUR	10 – 100	0.95	2.69				N	N	
Keyword Ideas	intereses prestamos personales	EUR	100 – 1K	0.94	2.82				N	N	
Keyword Ideas	prestamos de bancos	EUR	10 – 100	1.00	1.49				N	N	
Keyword Ideas	prestamos personales on line	EUR	100 – 1K	0.96	3.67				N	N	
Keyword Ideas	prestamos efectivo	EUR	10 – 100	0.95	2.34				N	N	
Keyword Ideas	credito express	EUR	100 – 1K	0.98	2.30				N	N	
Keyword Ideas	dinero urgente online	EUR	100 – 1K	0.94	1.50				N	N	
Keyword Ideas	créditos rápidos online	EUR	100 – 1K	0.96	4.05				N	N	
Keyword Ideas	prestamos personales urgentes	EUR	10 – 100	0.97	2.32				N	N	
Keyword Ideas	prestamos de dinero en linea	EUR	0 – 10						N	N	
Keyword Ideas	creditos instantaneos	EUR	100 – 1K	1.00	2.72				N	N	
Keyword Ideas	pedir dinero	EUR	100 – 1K	0.93	1.35				N	N	
Keyword Ideas	prestamo nomina	EUR	100 – 1K	0.99	1.71				N	N	
Keyword Ideas	prestamistas personales	EUR	10 – 100	0.99	1.58				N	N	
Keyword Ideas	prestamos a plazos	EUR	100 – 1K	0.99	2.23				N	N	
Keyword Ideas	prestamos rapidos de dinero	EUR	10 – 100	1.00	6.41				N	N	
Keyword Ideas	microprestamos online	EUR	100 – 1K	0.99	3.32				N	N	
Keyword Ideas	prestamos con garantia hipotecaria	EUR	100 – 1K	0.89	2.41				N	N	
Keyword Ideas	mini credito rapido	EUR	100 – 1K	0.99	2.85				N	N	
Keyword Ideas	creditos inmobiliarios	EUR	10 – 100	0.71	5.13				N	N	
Keyword Ideas	prestamos a jubilados	EUR	10 – 100	1.00	1.60				N	N	
Keyword Ideas	calcular prestamos personales	EUR	100 – 1K	0.88	1.54				N	N	
Keyword Ideas	pedir credito online	EUR	100 – 1K	1.00	2.74				N	N	
Keyword Ideas	creditos al consumo	EUR	100 – 1K	0.77	1.87				N	N	
Keyword Ideas	prestamos solo con dni	EUR	10 – 100	0.99	2.01				N	N	
Keyword Ideas	prestamos y creditos	EUR	100 – 1K	0.76	1.79				N	N	
Keyword Ideas	prestamos al consumo	EUR	100 – 1K	0.91	1.62				N	N	
Keyword Ideas	microcreditos rapidos online	EUR	100 – 1K	0.61	2.64				N	N	
Keyword Ideas	creditos faciles y rapidos	EUR	100 – 1K	0.98	3.18				N	N	
Keyword Ideas	mini credito online	EUR	100 – 1K	0.88	2.61				N	N	
Keyword Ideas	prestamos para estudiantes	EUR	100 – 1K	0.96	1.34				N	N	
Keyword Ideas	necesito prestamo	EUR	10 – 100	0.95	1.63				N	N	
Keyword Ideas	mini creditos personales	EUR	100 – 1K	0.89	1.23				N	N	
Keyword Ideas	credito rapido y facil	EUR	10 – 100	0.99	3.37				N	N	
Keyword Ideas	prestamos rapidos sin aval	EUR	100 – 1K	0.94	3.05				N	N	
Keyword Ideas	dinero rapido prestamos	EUR	100 – 1K	0.98	2.00				N	N	
