Ad group	Keyword	Currency	Avg. Monthly Searches (exact match only)	Competition	Suggested bid	Impr. share	Organic impr. share	Organic avg. position	In account?	In plan?	Extracted From
Keyword Ideas	prestamos personales particulares	EUR	10 – 100	1.00	2.32				N	N	
Keyword Ideas	pedir dinero online	EUR	10 – 100	1.00	1.88				N	N	
Keyword Ideas	minicreditos online al instante	EUR	100 – 1K	0.75	2.45				N	N	
Keyword Ideas	como pedir prestamo en personal	EUR	10 – 100	1.00	1.48				N	N	
Keyword Ideas	credito familiar	EUR	10 – 100	0.94	1.98				N	N	
Keyword Ideas	prestamo personal rapido online	EUR	10 – 100	1.00	3.54				N	N	
Keyword Ideas	prestamos del gobierno	EUR	10 – 100	0.81					N	N	
Keyword Ideas	credito ya telefono	EUR	10 – 100	0.99	1.62				N	N	
Keyword Ideas	como pedir un prestamo personal	EUR	10 – 100	0.97	3.13				N	N	
Keyword Ideas	simulador de credito	EUR	1K – 10K	0.83	0.77				N	N	
Keyword Ideas	simulador hipoteca	EUR	10K – 100K	0.60	0.76				N	N	
Keyword Ideas	prestamos online en minutos	EUR	10 – 100						N	N	
Keyword Ideas	prestamos sin credito	EUR	10 – 100	1.00	3.84				N	N	
Keyword Ideas	pedir un credito rapido	EUR	100 – 1K	0.85	3.53				N	N	
Keyword Ideas	mini prestamos online inmediatos	EUR	10 – 100	1.00	1.97				N	N	
Keyword Ideas	calcula tu prestamo	EUR	100 – 1K	0.79	1.58				N	N	
Keyword Ideas	tarjetas de credito gratis	EUR	1K – 10K	0.95	2.17				N	N	
Keyword Ideas	presto dinero urgente	EUR	10 – 100	1.00	3.06				N	N	
Keyword Ideas	tipo interes prestamo personal	EUR	100 – 1K	0.89	2.54				N	N	
Keyword Ideas	credito hipotecario	EUR	100 – 1K	0.92	2.10				N	N	
Keyword Ideas	prestamo o credito	EUR	10 – 100	0.44	2.45				N	N	
Keyword Ideas	prestamos para pymes	EUR	10 – 100	0.98	2.58				N	N	
Keyword Ideas	mini creditos instantaneos	EUR	10 – 100	1.00					N	N	
Keyword Ideas	prestamo de personal	EUR	10 – 100	0.93					N	N	
Keyword Ideas	prestamos rapidos para pagar a plazos	EUR	100 – 1K	1.00	2.98				N	N	
Keyword Ideas	mejor credito personal	EUR	100 – 1K	0.96	1.69				N	N	
Keyword Ideas	reunificar creditos	EUR	100 – 1K	0.98	1.62				N	N	
Keyword Ideas	prestamos personales sin nomina	EUR	100 – 1K	0.99	2.06				N	N	
Keyword Ideas	busco prestamos dinero rapido	EUR	10 – 100	1.00	2.51				N	N	
Keyword Ideas	prestamos web	EUR	10 – 100	0.68	1.41				N	N	
Keyword Ideas	mini créditos a plazos	EUR	100 – 1K	0.99	2.43				N	N	
Keyword Ideas	creditos rapidos en linea	EUR	10 – 100						N	N	
Keyword Ideas	prestamos personales con dni	EUR	10 – 100	1.00					N	N	
Keyword Ideas	prestamos instantaneos online	EUR	10 – 100	1.00	3.29				N	N	
Keyword Ideas	paginas de creditos	EUR	100 – 1K	0.86	1.98				N	N	
Keyword Ideas	pedir prestamos rapidos	EUR	10 – 100	1.00	2.89				N	N	
Keyword Ideas	prestamos particulares rapidos	EUR	10 – 100	1.00	3.45				N	N	
Keyword Ideas	credito ahora	EUR	10 – 100	0.96	1.66				N	N	
Keyword Ideas	condiciones prestamos personales	EUR	10 – 100	0.96	3.41				N	N	
Keyword Ideas	quiero un prestamo	EUR	10 – 100	0.99	1.94				N	N	
Keyword Ideas	prestamos online para pagar a plazos	EUR	100 – 1K	0.99	3.22				N	N	
Keyword Ideas	prestamos rapidos y faciles online	EUR	10 – 100	0.96	1.69				N	N	
Keyword Ideas	prestamo hipotecario	EUR	1K – 10K	0.93	2.33				N	N	
Keyword Ideas	prestamos rapidos online con asnef	EUR	100 – 1K	0.99	1.76				N	N	
Keyword Ideas	prestamos urgentes por internet	EUR	10 – 100	1.00					N	N	
Keyword Ideas	minicreditos on line	EUR	10 – 100	0.49	2.27				N	N	
Keyword Ideas	prestamos personales sin requisitos	EUR	10 – 100	0.99	1.73				N	N	
Keyword Ideas	mini creditos para pagar a plazos	EUR	100 – 1K	1.00	2.32				N	N	
Keyword Ideas	prestamos personales a bajo interes	EUR	10 – 100	1.00	2.56				N	N	
Keyword Ideas	credi rapido	EUR	100 – 1K	0.98	4.06				N	N	
Keyword Ideas	mejores creditos personales	EUR	100 – 1K	0.98	1.85				N	N	
Keyword Ideas	requisitos prestamo personal	EUR	10 – 100	0.92	4.03				N	N	
Keyword Ideas	credito al consumo	EUR	100 – 1K	0.60	1.47				N	N	
Keyword Ideas	solicitar un prestamo online	EUR	10 – 100	1.00	4.11				N	N	
Keyword Ideas	tarjeta de credito visa	EUR	100 – 1K	0.83	2.27				N	N	
Keyword Ideas	credito universitario	EUR	100 – 1K	0.52	1.42				N	N	
Keyword Ideas	donde conseguir un prestamo rapido	EUR	10 – 100	1.00	4.73				N	N	
Keyword Ideas	prestamos pequeños y rapidos	EUR	10 – 100	1.00	2.41				N	N	
Keyword Ideas	online credito	EUR	10 – 100	0.99	1.86				N	N	
Keyword Ideas	necesito prestamo urgente	EUR	10 – 100	1.00	2.16				N	N	
Keyword Ideas	credito rapidos online	EUR	10 – 100	0.99	3.70				N	N	
Keyword Ideas	mejores tarjetas de credito	EUR	100 – 1K	0.93	1.81				N	N	
Keyword Ideas	prestamo urgente en linea	EUR	10 – 100	1.00	2.45				N	N	
Keyword Ideas	prestamos para	EUR	10 – 100	0.82	2.58				N	N	
Keyword Ideas	credito auto	EUR	10 – 100	0.83	1.59				N	N	
Keyword Ideas	agrupar prestamos	EUR	100 – 1K	1.00	2.21				N	N	
Keyword Ideas	prestamos de efectivo	EUR	10 – 100						N	N	
Keyword Ideas	ver prestamos personales	EUR	10 – 100	1.00	2.91				N	N	
Keyword Ideas	prestamos pequeños rapidos	EUR	10 – 100	1.00	2.76				N	N	
Keyword Ideas	mini prestamos online nuevos	EUR	10 – 100	1.00	1.88				N	N	
Keyword Ideas	prestamos a bajo interes	EUR	100 – 1K	0.99	2.28				N	N	
Keyword Ideas	intereses en prestamos personales	EUR	10 – 100	0.91	1.66				N	N	
Keyword Ideas	creditos personales por internet	EUR	10 – 100						N	N	
Keyword Ideas	prestamos si	EUR	10 – 100	0.93	1.44				N	N	
Keyword Ideas	sacar un credito	EUR	10 – 100	0.98	1.36				N	N	
Keyword Ideas	prestamos personales solo con dni	EUR	10 – 100	0.84	2.19				N	N	
Keyword Ideas	solicitar un credito rapido	EUR	10 – 100	0.97	3.07				N	N	
Keyword Ideas	creditos y prestamos rapidos	EUR	10 – 100	0.94	3.34				N	N	
Keyword Ideas	credito prendario	EUR	10 – 100	0.80	1.01				N	N	
Keyword Ideas	buscar creditos rapidos	EUR	10 – 100	1.00	2.86				N	N	
Keyword Ideas	credito rapido web	EUR	10 – 100						N	N	
Keyword Ideas	rapido credito	EUR	10 – 100	1.00	2.80				N	N	
Keyword Ideas	obtener credito	EUR	10 – 100	1.00	1.63				N	N	
Keyword Ideas	credito 300	EUR	10 – 100	1.00	2.50				N	N	
Keyword Ideas	prestamo 300	EUR	100 – 1K	0.82	2.43				N	N	
Keyword Ideas	creditos y rapidos	EUR	10 – 100	1.00	2.31				N	N	
Keyword Ideas	crédito rapido facil	EUR	10 – 100	0.97	2.80				N	N	
Keyword Ideas	credito personales rapidos	EUR	10 – 100	1.00	2.67				N	N	
Keyword Ideas	préstamo de dinero rápido	EUR	10 – 100	1.00	2.49				N	N	
Keyword Ideas	pedir un credito rapido por internet	EUR	10 – 100	0.91	4.47				N	N	
Keyword Ideas	crédito rápido 24 horas	EUR	10 – 100	1.00	3.23				N	N	
Keyword Ideas	prestamos personales en bancos	EUR	10 – 100	0.97	1.72				N	N	
Keyword Ideas	creditos y prestamos personales	EUR	10 – 100	1.00	4.08				N	N	
Keyword Ideas	prestamo personal online rapido	EUR	10 – 100	1.00	2.13				N	N	
Keyword Ideas	micro prestamos urgentes	EUR	10 – 100	1.00	3.04				N	N	
Keyword Ideas	los creditos	EUR	10 – 100	0.37					N	N	
Keyword Ideas	prestamos por internet rapidos y seguros	EUR	10 – 100						N	N	
Keyword Ideas	prestamos rapido online	EUR	10 – 100	1.00	3.75				N	N	
Keyword Ideas	solicitud de credito online	EUR	10 – 100	1.00	5.44				N	N	
Keyword Ideas	prestamo personal on line	EUR	10 – 100	1.00	2.22				N	N	
Keyword Ideas	solicitud prestamo online	EUR	10 – 100	0.99	4.89				N	N	
Keyword Ideas	personal presta	EUR	10 – 100	1.00					N	N	
Keyword Ideas	solicitar credito rapido online	EUR	10 – 100	0.27	3.42				N	N	
Keyword Ideas	prestamo vivienda	EUR	10 – 100	0.86	1.26				N	N	
Keyword Ideas	microcrédito	EUR	100 – 1K	0.95	3.04				N	N	
Keyword Ideas	solicitar prestamos rapidos	EUR	10 – 100	1.00	3.09				N	N	
Keyword Ideas	prestamos personales en el acto	EUR	10 – 100	1.00	2.08				N	N	
Keyword Ideas	prestamos en el momento	EUR	10 – 100	1.00	2.38				N	N	
Keyword Ideas	credito privado	EUR	100 – 1K	0.99	1.93				N	N	
Keyword Ideas	hipoteca puente	EUR	100 – 1K	0.66	0.87				N	N	
Keyword Ideas	credito para casa	EUR	10 – 100	0.89	2.03				N	N	
Keyword Ideas	credito efectivo	EUR	10 – 100	0.83	2.13				N	N	
Keyword Ideas	creditos rapidos para pagar a plazos	EUR	10 – 100	1.00	2.44				N	N	
Keyword Ideas	crediti	EUR	100 – 1K	0.85	1.33				N	N	
Keyword Ideas	como obtener un prestamo	EUR	10 – 100	1.00	1.17				N	N	
Keyword Ideas	prestamos para empresas	EUR	100 – 1K	0.98	3.24				N	N	
Keyword Ideas	prestamos pymes	EUR	100 – 1K	0.96	2.35				N	N	
Keyword Ideas	prestamos en 15 minutos	EUR	100 – 1K	0.97	2.31				N	N	
Keyword Ideas	requisitos para prestamos bancarios	EUR	10 – 100	0.90					N	N	
Keyword Ideas	creditos internet	EUR	10 – 100	0.98	2.39				N	N	
Keyword Ideas	prestamos minicreditos	EUR	10 – 100	1.00	3.16				N	N	
Keyword Ideas	prestamos online en cuotas	EUR	10 – 100	1.00					N	N	
Keyword Ideas	solicitar prestamo personal por internet	EUR	100 – 1K	0.97	3.01				N	N	
Keyword Ideas	prestamo en personal	EUR	10 – 100	1.00					N	N	
Keyword Ideas	préstamos personales rápidos	EUR	10 – 100	0.94	3.21				N	N	
Keyword Ideas	online prestamos	EUR	10 – 100	1.00	2.89				N	N	
Keyword Ideas	creditos rapidos a plazos	EUR	100 – 1K	1.00	3.51				N	N	
Keyword Ideas	creditos personales sin requisitos	EUR	10 – 100	1.00	1.75				N	N	
Keyword Ideas	credifacil	EUR	100 – 1K	0.92	0.99				N	N	
Keyword Ideas	calcular hipoteca	EUR	10K – 100K	0.60	0.74				N	N	
Keyword Ideas	credito gratis	EUR	100 – 1K	0.97	2.11				N	N	
Keyword Ideas	quiero un prestamo personal	EUR	10 – 100	0.99	2.75				N	N	
Keyword Ideas	pedir creditos rapidos	EUR	10 – 100	1.00	2.91				N	N	
Keyword Ideas	busco prestamos personales	EUR	10 – 100	1.00	2.85				N	N	
Keyword Ideas	prestamos para pagar a plazos	EUR	10 – 100	1.00	2.35				N	N	
Keyword Ideas	calcular prestamo hipotecario	EUR	1K – 10K	0.64	0.90				N	N	
Keyword Ideas	dineo credito telefono	EUR	10 – 100	0.93	5.08				N	N	
Keyword Ideas	creditos personales urgentes	EUR	10 – 100	1.00	2.19				N	N	
Keyword Ideas	pedir mini credito	EUR	10 – 100	1.00	3.17				N	N	
Keyword Ideas	donde pedir un prestamo rapido	EUR	10 – 100	1.00	2.94				N	N	
Keyword Ideas	prestamos 100	EUR	10 – 100	0.99	2.25				N	N	
Keyword Ideas	paginas de prestamos online	EUR	10 – 100	0.99	3.22				N	N	
Keyword Ideas	seguro de credito	EUR	100 – 1K	0.74	2.34				N	N	
Keyword Ideas	creditos 100 online	EUR	10 – 100	1.00	2.70				N	N	
Keyword Ideas	pedir prestamo rapido y facil	EUR	10 – 100	1.00	2.90				N	N	
Keyword Ideas	requisitos prestamos personales	EUR	10 – 100	0.95	2.56				N	N	
Keyword Ideas	creditos gratis	EUR	100 – 1K	0.97	1.90				N	N	
Keyword Ideas	préstamos personales en línea	EUR	10 – 100						N	N	
Keyword Ideas	prestamos rapidos a plazos	EUR	100 – 1K	1.00	2.57				N	N	
Keyword Ideas	conseguir prestamo rapido	EUR	10 – 100	1.00	2.15				N	N	
Keyword Ideas	dinero prestado rapido	EUR	10 – 100	1.00	2.61				N	N	
Keyword Ideas	credito 300 euros instante	EUR	10 – 100	1.00	2.21				N	N	
Keyword Ideas	prestamos al personal	EUR	10 – 100	0.43					N	N	
Keyword Ideas	prestamos rapidos urgentes	EUR	10 – 100	0.89	3.02				N	N	
Keyword Ideas	mini prestamos para pagar a plazos	EUR	10 – 100	1.00	1.89				N	N	
Keyword Ideas	prestamos personales a plazos	EUR	10 – 100	1.00	1.94				N	N	
Keyword Ideas	prestamos de 300	EUR	10 – 100	0.96	1.94				N	N	
Keyword Ideas	credito directo	EUR	100 – 1K	0.95	2.18				N	N	
Keyword Ideas	mini creditos urgentes online	EUR	10 – 100	1.00	2.07				N	N	
Keyword Ideas	prestar dinero online	EUR	100 – 1K	0.98	2.46				N	N	
Keyword Ideas	calculadora de prestamo personal	EUR	10 – 100	0.75	1.61				N	N	
Keyword Ideas	reporte de credito	EUR	10 – 100	0.14					N	N	
Keyword Ideas	microcreditos online rapidos	EUR	10 – 100	0.99	2.63				N	N	
Keyword Ideas	entidades financieras	EUR	100 – 1K	0.56	1.10				N	N	
Keyword Ideas	prestamos de dinero bancos	EUR	10 – 100	1.00					N	N	
Keyword Ideas	calculo de prestamos	EUR	100 – 1K	0.54	0.94				N	N	
Keyword Ideas	solicitud de credito personal	EUR	10 – 100	1.00	2.65				N	N	
Keyword Ideas	reunificacion de deudas	EUR	1K – 10K	0.97	1.82				N	N	
Keyword Ideas	solicitud de prestamos online	EUR	10 – 100	1.00	4.14				N	N	
Keyword Ideas	mini prestamo al instante	EUR	10 – 100	0.39	2.07				N	N	
Keyword Ideas	solicitud credito online	EUR	10 – 100	1.00	3.52				N	N	
Keyword Ideas	creditos por telefono	EUR	100 – 1K	0.98	1.63				N	N	
Keyword Ideas	prestamos rapidisimos	EUR	10 – 100	0.99	1.66				N	N	
Keyword Ideas	prestamos ya online	EUR	10 – 100	0.95	2.05				N	N	
Keyword Ideas	casas de prestamos	EUR	10 – 100	0.97	1.98				N	N	
Keyword Ideas	financieras creditos rapidos	EUR	10 – 100	0.95	1.73				N	N	
Keyword Ideas	buro credito	EUR	10 – 100	0.43					N	N	
Keyword Ideas	préstamos on line	EUR	10 – 100	1.00	4.65				N	N	
Keyword Ideas	prestamos urgentes de dinero	EUR	10 – 100	0.62	3.02				N	N	
Keyword Ideas	prestamos en el banco	EUR	10 – 100	0.87	2.00				N	N	
Keyword Ideas	prestamos personales ya	EUR	10 – 100	1.00					N	N	
Keyword Ideas	pedir credito rapido online	EUR	10 – 100	1.00	4.94				N	N	
Keyword Ideas	creditos rapidos asnef	EUR	100 – 1K	0.98	1.93				N	N	
Keyword Ideas	prestamos intereses	EUR	10 – 100	0.87	2.11				N	N	
Keyword Ideas	donde puedo solicitar un prestamo rapido	EUR	10 – 100						N	N	
Keyword Ideas	creditos online nuevos	EUR	10 – 100	1.00	3.57				N	N	
Keyword Ideas	mini prestamo rapido online	EUR	10 – 100	1.00	2.13				N	N	
Keyword Ideas	su credito	EUR	1K – 10K	0.78	1.94				N	N	
Keyword Ideas	credito rapido a plazos	EUR	10 – 100	1.00	3.79				N	N	
Keyword Ideas	prestamos y creditos rapidos	EUR	10 – 100	1.00	3.13				N	N	
Keyword Ideas	creditos rapidos para todos	EUR	10 – 100	1.00	2.32				N	N	
Keyword Ideas	minicreditos instantaneos	EUR	10 – 100	1.00	2.37				N	N	
Keyword Ideas	donde conseguir prestamos rapidos	EUR	10 – 100	1.00	5.14				N	N	
Keyword Ideas	pedir credito online rapido	EUR	10 – 100	1.00	3.37				N	N	
Keyword Ideas	créditos personales on line	EUR	10 – 100	1.00	3.86				N	N	
Keyword Ideas	presta dinero facil	EUR	10 – 100	1.00					N	N	
Keyword Ideas	comparador hipotecas	EUR	1K – 10K	0.86	1.33				N	N	
Keyword Ideas	prestamos rapidos nuevos	EUR	10 – 100	1.00	2.38				N	N	
Keyword Ideas	mini creditos rapidos al instante	EUR	10 – 100	1.00					N	N	
Keyword Ideas	decreditos	EUR	10 – 100	0.46	3.03				N	N	
Keyword Ideas	como pedir el prestamo en personal	EUR	0 – 10						N	N	
Keyword Ideas	creditos personales en linea	EUR	10 – 100						N	N	
Keyword Ideas	prestamos urgentes on line	EUR	10 – 100	0.95	1.91				N	N	
Keyword Ideas	requisitos para prestamos	EUR	10 – 100	0.92	1.35				N	N	
Keyword Ideas	prestamos sin veraz	EUR	10 – 100						N	N	
Keyword Ideas	minicreditos rapidos con asnef online	EUR	100 – 1K	0.93	2.58				N	N	
Keyword Ideas	empresas prestamos rapidos	EUR	10 – 100	1.00	4.39				N	N	
Keyword Ideas	préstamo hipotecario	EUR	100 – 1K	0.90	2.54				N	N	
Keyword Ideas	credito empresarial	EUR	10 – 100	0.91	2.91				N	N	
Keyword Ideas	pedir un credito de consumo	EUR	10 – 100						N	N	
Keyword Ideas	pedir mini credito online	EUR	10 – 100	1.00	3.17				N	N	
Keyword Ideas	credito prestamo personal	EUR	10 – 100	0.93	3.17				N	N	
Keyword Ideas	mini creditos instantaneos online	EUR	10 – 100	1.00					N	N	
Keyword Ideas	prestamos y creditos online	EUR	10 – 100	1.00	2.25				N	N	
Keyword Ideas	nuevos prestamos rapidos	EUR	10 – 100	1.00	2.55				N	N	
Keyword Ideas	prestamo familiar	EUR	100 – 1K	0.45	1.07				N	N	
Keyword Ideas	credito s	EUR	10 – 100	0.97	2.48				N	N	
Keyword Ideas	mini credito rapido online	EUR	10 – 100	1.00	2.64				N	N	
Keyword Ideas	mini prestamos al momento	EUR	10 – 100	1.00	2.12				N	N	
Keyword Ideas	prestamos faciles online	EUR	10 – 100	1.00	1.49				N	N	
Keyword Ideas	paginas de creditos rapidos	EUR	10 – 100	0.99	4.16				N	N	
Keyword Ideas	mini creditos ya	EUR	100 – 1K	0.30	2.00				N	N	
Keyword Ideas	creditos de dinero rapidos	EUR	10 – 100						N	N	
Keyword Ideas	pedir un credito online	EUR	10 – 100	0.79	3.47				N	N	
Keyword Ideas	el prestamo	EUR	10 – 100	0.32	1.88				N	N	
Keyword Ideas	microcredito	EUR	100 – 1K	0.91	2.45				N	N	
Keyword Ideas	creditos para pagar a plazos	EUR	10 – 100	0.99	3.95				N	N	
Keyword Ideas	prestamo ya telefono	EUR	10 – 100						N	N	
Keyword Ideas	prestamos urgentes y rapidos	EUR	10 – 100	0.98	2.44				N	N	
Keyword Ideas	paginas de prestamos rapidos	EUR	10 – 100	1.00	3.53				N	N	
Keyword Ideas	prestamos a pagar a plazos	EUR	10 – 100	1.00	1.75				N	N	
Keyword Ideas	creditos rapidos online con asnef	EUR	100 – 1K	0.96	1.82				N	N	
Keyword Ideas	quiero un prestamo rapido	EUR	10 – 100	1.00	2.48				N	N	
Keyword Ideas	interes credito personal	EUR	100 – 1K	0.89	2.60				N	N	
